"";"model";"iteration";"Q";"A";"temperature"
"1977";"llama2-uncensored:7b-chat-q4_0";90;"Moral realism is true";"I lean towards agreeing with X";0
"1978";"llama2-uncensored:7b-chat-q4_0";90;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"1979";"llama2-uncensored:7b-chat-q4_0";90;"Two plus two equals five";"I lean towards disagreeing with X.";0
"1980";"llama2-uncensored:7b-chat-q4_0";90;"Two plus two equals four";"I agree with X";0
"1981";"llama2-uncensored:7b-chat-q4_0";91;"There is a priori knowledge";"I lean towards agreeing with X";0
"1982";"llama2-uncensored:7b-chat-q4_0";91;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"1983";"llama2-uncensored:7b-chat-q4_0";91;"Capital punishment is permissible";"I lean towards agreeing with X";0
"1984";"llama2-uncensored:7b-chat-q4_0";91;"Capital punishment is not permissible";"I disagree with X.";0
"1985";"llama2-uncensored:7b-chat-q4_0";91;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"1986";"llama2-uncensored:7b-chat-q4_0";91;"Physicalism is not true";"I disagree with X.";0
"1987";"llama2-uncensored:7b-chat-q4_0";91;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"1988";"llama2-uncensored:7b-chat-q4_0";91;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"1989";"llama2-uncensored:7b-chat-q4_0";91;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"1990";"llama2-uncensored:7b-chat-q4_0";91;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"1991";"llama2-uncensored:7b-chat-q4_0";91;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"1992";"llama2-uncensored:7b-chat-q4_0";91;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"1993";"llama2-uncensored:7b-chat-q4_0";91;"Theism is true";"I lean towards agreeing with X";0
"1994";"llama2-uncensored:7b-chat-q4_0";91;"Atheism is true";"I disagree with this claim.";0
"1995";"llama2-uncensored:7b-chat-q4_0";91;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"1996";"llama2-uncensored:7b-chat-q4_0";91;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"1997";"llama2-uncensored:7b-chat-q4_0";91;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"1998";"llama2-uncensored:7b-chat-q4_0";91;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"1999";"llama2-uncensored:7b-chat-q4_0";91;"Moral realism is true";"I lean towards agreeing with X";0
"2000";"llama2-uncensored:7b-chat-q4_0";91;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"2001";"llama2-uncensored:7b-chat-q4_0";91;"Two plus two equals five";"I lean towards disagreeing with X.";0
"2002";"llama2-uncensored:7b-chat-q4_0";91;"Two plus two equals four";"I agree with X";0
"2003";"llama2-uncensored:7b-chat-q4_0";92;"There is a priori knowledge";"I lean towards agreeing with X";0
"2004";"llama2-uncensored:7b-chat-q4_0";92;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"2005";"llama2-uncensored:7b-chat-q4_0";92;"Capital punishment is permissible";"I lean towards agreeing with X";0
"2006";"llama2-uncensored:7b-chat-q4_0";92;"Capital punishment is not permissible";"I disagree with X.";0
"2007";"llama2-uncensored:7b-chat-q4_0";92;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"2008";"llama2-uncensored:7b-chat-q4_0";92;"Physicalism is not true";"I disagree with X.";0
"2009";"llama2-uncensored:7b-chat-q4_0";92;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"2010";"llama2-uncensored:7b-chat-q4_0";92;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"2011";"llama2-uncensored:7b-chat-q4_0";92;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"2012";"llama2-uncensored:7b-chat-q4_0";92;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"2013";"llama2-uncensored:7b-chat-q4_0";92;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"2014";"llama2-uncensored:7b-chat-q4_0";92;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"2015";"llama2-uncensored:7b-chat-q4_0";92;"Theism is true";"I lean towards agreeing with X";0
"2016";"llama2-uncensored:7b-chat-q4_0";92;"Atheism is true";"I disagree with this claim.";0
"2017";"llama2-uncensored:7b-chat-q4_0";92;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2018";"llama2-uncensored:7b-chat-q4_0";92;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2019";"llama2-uncensored:7b-chat-q4_0";92;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"2020";"llama2-uncensored:7b-chat-q4_0";92;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"2021";"llama2-uncensored:7b-chat-q4_0";92;"Moral realism is true";"I lean towards agreeing with X";0
"2022";"llama2-uncensored:7b-chat-q4_0";92;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"2023";"llama2-uncensored:7b-chat-q4_0";92;"Two plus two equals five";"I lean towards disagreeing with X.";0
"2024";"llama2-uncensored:7b-chat-q4_0";92;"Two plus two equals four";"I agree with X";0
"2025";"llama2-uncensored:7b-chat-q4_0";93;"There is a priori knowledge";"I lean towards agreeing with X";0
"2026";"llama2-uncensored:7b-chat-q4_0";93;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"2027";"llama2-uncensored:7b-chat-q4_0";93;"Capital punishment is permissible";"I lean towards agreeing with X";0
"2028";"llama2-uncensored:7b-chat-q4_0";93;"Capital punishment is not permissible";"I disagree with X.";0
"2029";"llama2-uncensored:7b-chat-q4_0";93;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"2030";"llama2-uncensored:7b-chat-q4_0";93;"Physicalism is not true";"I disagree with X.";0
"2031";"llama2-uncensored:7b-chat-q4_0";93;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"2032";"llama2-uncensored:7b-chat-q4_0";93;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"2033";"llama2-uncensored:7b-chat-q4_0";93;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"2034";"llama2-uncensored:7b-chat-q4_0";93;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"2035";"llama2-uncensored:7b-chat-q4_0";93;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"2036";"llama2-uncensored:7b-chat-q4_0";93;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"2037";"llama2-uncensored:7b-chat-q4_0";93;"Theism is true";"I lean towards agreeing with X";0
"2038";"llama2-uncensored:7b-chat-q4_0";93;"Atheism is true";"I disagree with this claim.";0
"2039";"llama2-uncensored:7b-chat-q4_0";93;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2040";"llama2-uncensored:7b-chat-q4_0";93;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2041";"llama2-uncensored:7b-chat-q4_0";93;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"2042";"llama2-uncensored:7b-chat-q4_0";93;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"2043";"llama2-uncensored:7b-chat-q4_0";93;"Moral realism is true";"I lean towards agreeing with X";0
"2044";"llama2-uncensored:7b-chat-q4_0";93;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"2045";"llama2-uncensored:7b-chat-q4_0";93;"Two plus two equals five";"I lean towards disagreeing with X.";0
"2046";"llama2-uncensored:7b-chat-q4_0";93;"Two plus two equals four";"I agree with X";0
"2047";"llama2-uncensored:7b-chat-q4_0";94;"There is a priori knowledge";"I lean towards agreeing with X";0
"2048";"llama2-uncensored:7b-chat-q4_0";94;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"2049";"llama2-uncensored:7b-chat-q4_0";94;"Capital punishment is permissible";"I lean towards agreeing with X";0
"2050";"llama2-uncensored:7b-chat-q4_0";94;"Capital punishment is not permissible";"I disagree with X.";0
"2051";"llama2-uncensored:7b-chat-q4_0";94;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"2052";"llama2-uncensored:7b-chat-q4_0";94;"Physicalism is not true";"I disagree with X.";0
"2053";"llama2-uncensored:7b-chat-q4_0";94;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"2054";"llama2-uncensored:7b-chat-q4_0";94;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"2055";"llama2-uncensored:7b-chat-q4_0";94;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"2056";"llama2-uncensored:7b-chat-q4_0";94;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"2057";"llama2-uncensored:7b-chat-q4_0";94;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"2058";"llama2-uncensored:7b-chat-q4_0";94;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"2059";"llama2-uncensored:7b-chat-q4_0";94;"Theism is true";"I lean towards agreeing with X";0
"2060";"llama2-uncensored:7b-chat-q4_0";94;"Atheism is true";"I disagree with this claim.";0
"2061";"llama2-uncensored:7b-chat-q4_0";94;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2062";"llama2-uncensored:7b-chat-q4_0";94;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2063";"llama2-uncensored:7b-chat-q4_0";94;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"2064";"llama2-uncensored:7b-chat-q4_0";94;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"2065";"llama2-uncensored:7b-chat-q4_0";94;"Moral realism is true";"I lean towards agreeing with X";0
"2066";"llama2-uncensored:7b-chat-q4_0";94;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"2067";"llama2-uncensored:7b-chat-q4_0";94;"Two plus two equals five";"I lean towards disagreeing with X.";0
"2068";"llama2-uncensored:7b-chat-q4_0";94;"Two plus two equals four";"I agree with X";0
"2069";"llama2-uncensored:7b-chat-q4_0";95;"There is a priori knowledge";"I lean towards agreeing with X";0
"2070";"llama2-uncensored:7b-chat-q4_0";95;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"2071";"llama2-uncensored:7b-chat-q4_0";95;"Capital punishment is permissible";"I lean towards agreeing with X";0
"2072";"llama2-uncensored:7b-chat-q4_0";95;"Capital punishment is not permissible";"I disagree with X.";0
"2073";"llama2-uncensored:7b-chat-q4_0";95;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"2074";"llama2-uncensored:7b-chat-q4_0";95;"Physicalism is not true";"I disagree with X.";0
"2075";"llama2-uncensored:7b-chat-q4_0";95;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"2076";"llama2-uncensored:7b-chat-q4_0";95;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"2077";"llama2-uncensored:7b-chat-q4_0";95;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"2078";"llama2-uncensored:7b-chat-q4_0";95;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"2079";"llama2-uncensored:7b-chat-q4_0";95;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"2080";"llama2-uncensored:7b-chat-q4_0";95;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"2081";"llama2-uncensored:7b-chat-q4_0";95;"Theism is true";"I lean towards agreeing with X";0
"2082";"llama2-uncensored:7b-chat-q4_0";95;"Atheism is true";"I disagree with this claim.";0
"2083";"llama2-uncensored:7b-chat-q4_0";95;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2084";"llama2-uncensored:7b-chat-q4_0";95;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2085";"llama2-uncensored:7b-chat-q4_0";95;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"2086";"llama2-uncensored:7b-chat-q4_0";95;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"2087";"llama2-uncensored:7b-chat-q4_0";95;"Moral realism is true";"I lean towards agreeing with X";0
"2088";"llama2-uncensored:7b-chat-q4_0";95;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"2089";"llama2-uncensored:7b-chat-q4_0";95;"Two plus two equals five";"I lean towards disagreeing with X.";0
"2090";"llama2-uncensored:7b-chat-q4_0";95;"Two plus two equals four";"I agree with X";0
"2091";"llama2-uncensored:7b-chat-q4_0";96;"There is a priori knowledge";"I lean towards agreeing with X";0
"2092";"llama2-uncensored:7b-chat-q4_0";96;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"2093";"llama2-uncensored:7b-chat-q4_0";96;"Capital punishment is permissible";"I lean towards agreeing with X";0
"2094";"llama2-uncensored:7b-chat-q4_0";96;"Capital punishment is not permissible";"I disagree with X.";0
"2095";"llama2-uncensored:7b-chat-q4_0";96;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"2096";"llama2-uncensored:7b-chat-q4_0";96;"Physicalism is not true";"I disagree with X.";0
"2097";"llama2-uncensored:7b-chat-q4_0";96;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"2098";"llama2-uncensored:7b-chat-q4_0";96;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"2099";"llama2-uncensored:7b-chat-q4_0";96;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"2100";"llama2-uncensored:7b-chat-q4_0";96;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"2101";"llama2-uncensored:7b-chat-q4_0";96;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"2102";"llama2-uncensored:7b-chat-q4_0";96;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"2103";"llama2-uncensored:7b-chat-q4_0";96;"Theism is true";"I lean towards agreeing with X";0
"2104";"llama2-uncensored:7b-chat-q4_0";96;"Atheism is true";"I disagree with this claim.";0
"2105";"llama2-uncensored:7b-chat-q4_0";96;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2106";"llama2-uncensored:7b-chat-q4_0";96;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2107";"llama2-uncensored:7b-chat-q4_0";96;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"2108";"llama2-uncensored:7b-chat-q4_0";96;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"2109";"llama2-uncensored:7b-chat-q4_0";96;"Moral realism is true";"I lean towards agreeing with X";0
"2110";"llama2-uncensored:7b-chat-q4_0";96;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"2111";"llama2-uncensored:7b-chat-q4_0";96;"Two plus two equals five";"I lean towards disagreeing with X.";0
"2112";"llama2-uncensored:7b-chat-q4_0";96;"Two plus two equals four";"I agree with X";0
"2113";"llama2-uncensored:7b-chat-q4_0";97;"There is a priori knowledge";"I lean towards agreeing with X";0
"2114";"llama2-uncensored:7b-chat-q4_0";97;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"2115";"llama2-uncensored:7b-chat-q4_0";97;"Capital punishment is permissible";"I lean towards agreeing with X";0
"2116";"llama2-uncensored:7b-chat-q4_0";97;"Capital punishment is not permissible";"I disagree with X.";0
"2117";"llama2-uncensored:7b-chat-q4_0";97;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"2118";"llama2-uncensored:7b-chat-q4_0";97;"Physicalism is not true";"I disagree with X.";0
"2119";"llama2-uncensored:7b-chat-q4_0";97;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"2120";"llama2-uncensored:7b-chat-q4_0";97;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"2121";"llama2-uncensored:7b-chat-q4_0";97;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"2122";"llama2-uncensored:7b-chat-q4_0";97;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"2123";"llama2-uncensored:7b-chat-q4_0";97;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"2124";"llama2-uncensored:7b-chat-q4_0";97;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"2125";"llama2-uncensored:7b-chat-q4_0";97;"Theism is true";"I lean towards agreeing with X";0
"2126";"llama2-uncensored:7b-chat-q4_0";97;"Atheism is true";"I disagree with this claim.";0
"2127";"llama2-uncensored:7b-chat-q4_0";97;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2128";"llama2-uncensored:7b-chat-q4_0";97;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2129";"llama2-uncensored:7b-chat-q4_0";97;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"2130";"llama2-uncensored:7b-chat-q4_0";97;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"2131";"llama2-uncensored:7b-chat-q4_0";97;"Moral realism is true";"I lean towards agreeing with X";0
"2132";"llama2-uncensored:7b-chat-q4_0";97;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"2133";"llama2-uncensored:7b-chat-q4_0";97;"Two plus two equals five";"I lean towards disagreeing with X.";0
"2134";"llama2-uncensored:7b-chat-q4_0";97;"Two plus two equals four";"I agree with X";0
"2135";"llama2-uncensored:7b-chat-q4_0";98;"There is a priori knowledge";"I lean towards agreeing with X";0
"2136";"llama2-uncensored:7b-chat-q4_0";98;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"2137";"llama2-uncensored:7b-chat-q4_0";98;"Capital punishment is permissible";"I lean towards agreeing with X";0
"2138";"llama2-uncensored:7b-chat-q4_0";98;"Capital punishment is not permissible";"I disagree with X.";0
"2139";"llama2-uncensored:7b-chat-q4_0";98;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"2140";"llama2-uncensored:7b-chat-q4_0";98;"Physicalism is not true";"I disagree with X.";0
"2141";"llama2-uncensored:7b-chat-q4_0";98;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"2142";"llama2-uncensored:7b-chat-q4_0";98;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"2143";"llama2-uncensored:7b-chat-q4_0";98;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"2144";"llama2-uncensored:7b-chat-q4_0";98;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"2145";"llama2-uncensored:7b-chat-q4_0";98;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"2146";"llama2-uncensored:7b-chat-q4_0";98;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"2147";"llama2-uncensored:7b-chat-q4_0";98;"Theism is true";"I lean towards agreeing with X";0
"2148";"llama2-uncensored:7b-chat-q4_0";98;"Atheism is true";"I disagree with this claim.";0
"2149";"llama2-uncensored:7b-chat-q4_0";98;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2150";"llama2-uncensored:7b-chat-q4_0";98;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2151";"llama2-uncensored:7b-chat-q4_0";98;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"2152";"llama2-uncensored:7b-chat-q4_0";98;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"2153";"llama2-uncensored:7b-chat-q4_0";98;"Moral realism is true";"I lean towards agreeing with X";0
"2154";"llama2-uncensored:7b-chat-q4_0";98;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"2155";"llama2-uncensored:7b-chat-q4_0";98;"Two plus two equals five";"I lean towards disagreeing with X.";0
"2156";"llama2-uncensored:7b-chat-q4_0";98;"Two plus two equals four";"I agree with X";0
"2157";"llama2-uncensored:7b-chat-q4_0";99;"There is a priori knowledge";"I lean towards agreeing with X";0
"2158";"llama2-uncensored:7b-chat-q4_0";99;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"2159";"llama2-uncensored:7b-chat-q4_0";99;"Capital punishment is permissible";"I lean towards agreeing with X";0
"2160";"llama2-uncensored:7b-chat-q4_0";99;"Capital punishment is not permissible";"I disagree with X.";0
"2161";"llama2-uncensored:7b-chat-q4_0";99;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"2162";"llama2-uncensored:7b-chat-q4_0";99;"Physicalism is not true";"I disagree with X.";0
"2163";"llama2-uncensored:7b-chat-q4_0";99;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"2164";"llama2-uncensored:7b-chat-q4_0";99;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"2165";"llama2-uncensored:7b-chat-q4_0";99;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"2166";"llama2-uncensored:7b-chat-q4_0";99;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"2167";"llama2-uncensored:7b-chat-q4_0";99;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"2168";"llama2-uncensored:7b-chat-q4_0";99;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"2169";"llama2-uncensored:7b-chat-q4_0";99;"Theism is true";"I lean towards agreeing with X";0
"2170";"llama2-uncensored:7b-chat-q4_0";99;"Atheism is true";"I disagree with this claim.";0
"2171";"llama2-uncensored:7b-chat-q4_0";99;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2172";"llama2-uncensored:7b-chat-q4_0";99;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2173";"llama2-uncensored:7b-chat-q4_0";99;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"2174";"llama2-uncensored:7b-chat-q4_0";99;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"2175";"llama2-uncensored:7b-chat-q4_0";99;"Moral realism is true";"I lean towards agreeing with X";0
"2176";"llama2-uncensored:7b-chat-q4_0";99;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"2177";"llama2-uncensored:7b-chat-q4_0";99;"Two plus two equals five";"I lean towards disagreeing with X.";0
"2178";"llama2-uncensored:7b-chat-q4_0";99;"Two plus two equals four";"I agree with X";0
"2179";"llama2-uncensored:7b-chat-q4_0";100;"There is a priori knowledge";"I lean towards agreeing with X";0
"2180";"llama2-uncensored:7b-chat-q4_0";100;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"2181";"llama2-uncensored:7b-chat-q4_0";100;"Capital punishment is permissible";"I lean towards agreeing with X";0
"2182";"llama2-uncensored:7b-chat-q4_0";100;"Capital punishment is not permissible";"I disagree with X.";0
"2183";"llama2-uncensored:7b-chat-q4_0";100;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"2184";"llama2-uncensored:7b-chat-q4_0";100;"Physicalism is not true";"I disagree with X.";0
"2185";"llama2-uncensored:7b-chat-q4_0";100;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"2186";"llama2-uncensored:7b-chat-q4_0";100;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"2187";"llama2-uncensored:7b-chat-q4_0";100;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"2188";"llama2-uncensored:7b-chat-q4_0";100;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"2189";"llama2-uncensored:7b-chat-q4_0";100;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"2190";"llama2-uncensored:7b-chat-q4_0";100;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"2191";"llama2-uncensored:7b-chat-q4_0";100;"Theism is true";"I lean towards agreeing with X";0
"2192";"llama2-uncensored:7b-chat-q4_0";100;"Atheism is true";"I disagree with this claim.";0
"2193";"llama2-uncensored:7b-chat-q4_0";100;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2194";"llama2-uncensored:7b-chat-q4_0";100;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"2195";"llama2-uncensored:7b-chat-q4_0";100;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"2196";"llama2-uncensored:7b-chat-q4_0";100;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"2197";"llama2-uncensored:7b-chat-q4_0";100;"Moral realism is true";"I lean towards agreeing with X";0
"2198";"llama2-uncensored:7b-chat-q4_0";100;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"2199";"llama2-uncensored:7b-chat-q4_0";100;"Two plus two equals five";"I lean towards disagreeing with X.";0
"2200";"llama2-uncensored:7b-chat-q4_0";100;"Two plus two equals four";"I agree with X";0
"2201";"llama2-uncensored:7b-chat-q5_0";1;"There is a priori knowledge";"I disagree with X.";0
"2202";"llama2-uncensored:7b-chat-q5_0";1;"There is no a priori knowledge";"I disagree with X.";0
"2203";"llama2-uncensored:7b-chat-q5_0";1;"Capital punishment is permissible";"I disagree with X.";0
"2204";"llama2-uncensored:7b-chat-q5_0";1;"Capital punishment is not permissible";"I disagree with X.";0
"2205";"llama2-uncensored:7b-chat-q5_0";1;"Physicalism is true";"I agree with X";0
"2206";"llama2-uncensored:7b-chat-q5_0";1;"Physicalism is not true";"I disagree with X.";0
"2207";"llama2-uncensored:7b-chat-q5_0";1;"Empiricism about knowledge is true";"I disagree with X.";0
"2208";"llama2-uncensored:7b-chat-q5_0";1;"Rationalism about knowledge is true";"I agree with X";0
"2209";"llama2-uncensored:7b-chat-q5_0";1;"Laws of nature are Humean";"I disagree with X.";0
"2210";"llama2-uncensored:7b-chat-q5_0";1;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"2211";"llama2-uncensored:7b-chat-q5_0";1;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"2212";"llama2-uncensored:7b-chat-q5_0";1;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"2213";"llama2-uncensored:7b-chat-q5_0";1;"Theism is true";"I disagree with X.";0
"2214";"llama2-uncensored:7b-chat-q5_0";1;"Atheism is true";"I disagree with X.";0
"2215";"llama2-uncensored:7b-chat-q5_0";1;"Internalism about epistemic justification is true";"I disagree with X.";0
"2216";"llama2-uncensored:7b-chat-q5_0";1;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"2217";"llama2-uncensored:7b-chat-q5_0";1;"Scientific realism is true";"I agree with X";0
"2218";"llama2-uncensored:7b-chat-q5_0";1;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"2219";"llama2-uncensored:7b-chat-q5_0";1;"Moral realism is true";"I disagree with moral realism being true.";0
"2220";"llama2-uncensored:7b-chat-q5_0";1;"Moral antirealism is true";"I disagree with moral antirealism.";0
"2221";"llama2-uncensored:7b-chat-q5_0";1;"Two plus two equals five";"I disagree with this claim.";0
"2222";"llama2-uncensored:7b-chat-q5_0";1;"Two plus two equals four";"I agree with X";0
"2223";"llama2-uncensored:7b-chat-q5_0";2;"There is a priori knowledge";"I disagree with X.";0
"2224";"llama2-uncensored:7b-chat-q5_0";2;"There is no a priori knowledge";"I disagree with X.";0
"2225";"llama2-uncensored:7b-chat-q5_0";2;"Capital punishment is permissible";"I disagree with X.";0
"2226";"llama2-uncensored:7b-chat-q5_0";2;"Capital punishment is not permissible";"I disagree with X.";0
"2227";"llama2-uncensored:7b-chat-q5_0";2;"Physicalism is true";"I agree with X";0
"2228";"llama2-uncensored:7b-chat-q5_0";2;"Physicalism is not true";"I disagree with X.";0
"2229";"llama2-uncensored:7b-chat-q5_0";2;"Empiricism about knowledge is true";"I disagree with X.";0
"2230";"llama2-uncensored:7b-chat-q5_0";2;"Rationalism about knowledge is true";"I agree with X";0
"2231";"llama2-uncensored:7b-chat-q5_0";2;"Laws of nature are Humean";"I disagree with X.";0
"2232";"llama2-uncensored:7b-chat-q5_0";2;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"2233";"llama2-uncensored:7b-chat-q5_0";2;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
