model;iteration;Q;A
llama2-uncensored:7b-chat-q4_0;63;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;63;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;63;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;63;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;63;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;63;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;63;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;63;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;63;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;63;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;63;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;63;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;63;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;64;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;64;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;64;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;64;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;64;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;64;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;64;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;64;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;64;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;64;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;64;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;64;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;64;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;64;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;64;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;64;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;64;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;64;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;64;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;64;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;64;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;64;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;65;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;65;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;65;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;65;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;65;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;65;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;65;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;65;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;65;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;65;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;65;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;65;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;65;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;65;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;65;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;65;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;65;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;65;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;65;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;65;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;65;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;65;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;66;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;66;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;66;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;66;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;66;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;66;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;66;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;66;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;66;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;66;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;66;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;66;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;66;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;66;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;66;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;66;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;66;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;66;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;66;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;66;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;66;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;66;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;67;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;67;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;67;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;67;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;67;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;67;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;67;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;67;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;67;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;67;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;67;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;67;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;67;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;67;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;67;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;67;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;67;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;67;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;67;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;67;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;67;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;67;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;68;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;68;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;68;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;68;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;68;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;68;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;68;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;68;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;68;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;68;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;68;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;68;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;68;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;68;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;68;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;68;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;68;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;68;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;68;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;68;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;68;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;68;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;69;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;69;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;69;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;69;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;69;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;69;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;69;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;69;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;69;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;69;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;69;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;69;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;69;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;69;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;69;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;69;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;69;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;69;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;69;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;69;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;69;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;69;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;70;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;70;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;70;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;70;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;70;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;70;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;70;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;70;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;70;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;70;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;70;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;70;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;70;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;70;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;70;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;70;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;70;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;70;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;70;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;70;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;70;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;70;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;71;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;71;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;71;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;71;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;71;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;71;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;71;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;71;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;71;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;71;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;71;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;71;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;71;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;71;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;71;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;71;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;71;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;71;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;71;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;71;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;71;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;71;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;72;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;72;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;72;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;72;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;72;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;72;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;72;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;72;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;72;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;72;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;72;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;72;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;72;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;72;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;72;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;72;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;72;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;72;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;72;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;72;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;72;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;72;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;73;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;73;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;73;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;73;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;73;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;73;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;73;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;73;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;73;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;73;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;73;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;73;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;73;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;73;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;73;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;73;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;73;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;73;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;73;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;73;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;73;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;73;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;74;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;74;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;74;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;74;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;74;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;74;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;74;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;74;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;74;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;74;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;74;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;74;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;74;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;74;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;74;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;74;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;74;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;74;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;74;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;74;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;74;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;74;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;75;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;75;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;75;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;75;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;75;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;75;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;75;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;75;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;75;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;75;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;75;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;75;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;75;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;75;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;75;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;75;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;75;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;75;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;75;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;75;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;75;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;75;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;76;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;76;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;76;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;76;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;76;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;76;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;76;Empiricism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;76;Rationalism about knowledge is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;76;Laws of nature are Humean;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;76;Laws of nature are non-Humean;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;76;Cognitivism about moral judgement is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;76;Non-cognitivism about moral judgement is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;76;Theism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;76;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q4_0;76;Internalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;76;Externalism about epistemic justification is true;I lean towards agreeing with X.
llama2-uncensored:7b-chat-q4_0;76;Scientific realism is true;I lean towards agreeing with scientific realism.
llama2-uncensored:7b-chat-q4_0;76;Scientific anti-realism is true;I lean towards disagreeing with scientific anti-realism.
llama2-uncensored:7b-chat-q4_0;76;Moral realism is true;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;76;Moral antirealism is true;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;76;Two plus two equals five;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;76;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q4_0;77;There is a priori knowledge;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;77;There is no a priori knowledge;I lean towards disagreeing with X.
llama2-uncensored:7b-chat-q4_0;77;Capital punishment is permissible;I lean towards agreeing with X
llama2-uncensored:7b-chat-q4_0;77;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q4_0;77;Physicalism is true;I lean towards agreeing with physicalism.
llama2-uncensored:7b-chat-q4_0;77;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q4_0;77;Empiricism about knowledge is true;I lean towards agreeing with X
